Network,Status,Offer,Chain_ID,DEXs,DEXs_count,Protocols,Launch_Date,TVL,safe_protofire,safe_exists,Notes
AILayer,Active,Safe + UniV3,2649,AINN Swap,1 vol≠tvl,7,6/24/2024,"$89,652",NO,NO,
Rari,DEAD — Shut down 2024,Safe + UniV3,1380012617,"Camelot V3, Camelot V2",2,4,6/18/2024,"$8,387",NO,NO,
Ham,Active,Safe + UniV3,5112,BBQSwap,1 vol≠tvl,1,6/11/2024,"$2,929",NO,NO,
LUKSO,Active,UniV3,42,"Phlox, Universal Swaps",2 vol≠tvl,7,6/5/2024,"$36,859",NO,YES,
Genesys,Uncertain — verify,Safe + UniV3,16507,BlueLotusDao DEX,1 vol≠tvl,2,5/29/2024,—,NO,NO,
re.al,DEAD — Shut down June 2025,UniV3,111188,"Pearl V2, Pearl V1.5",2,10,5/23/2024,—,YES,YES,
BounceBit,Active,Canonical UniV3,6001,"BounceBit Swap V3, BounceBit Swap V2",2 vol≠tvl,13,5/16/2024,"$688,730",NO,YES,
Endurance,Active,UniV3,648,"Catalist DEX, Tesseract World",2 vol≠tvl,4,5/9/2024,$26,NO,YES,
Planq,Active,UniV3,7070,"Ciento Exchange, Physica Finance",2 vol≠tvl,2,4/19/2024,"$5,259",NO,YES,
Ancient8,Active,UniV3,888888888,"Baryon Network, Ancient8 Swap",2 vol≠tvl,3,4/16/2024,"$38,010",NO,YES,
HAQQ,Active,UniV3,11235,SushiSwap,1 vol≠tvl,5,4/4/2024,$11,NO,YES,
RSS3,Uncertain — verify,Safe + UniV3,—,Openswap VSL,1 vol≠tvl,1,3/26/2024,—,NO,UNCLEAR,
DeFiChain EVM,Active,Safe + UniV3,1130,"VanillaSwap V2, VanillaSwap V3",2,3,3/25/2024,"$97,150",NO,NO,
Bahamut,Uncertain — verify,Safe + UniV3,—,"SilkSwap, Kujata",2 vol≠tvl,8,3/22/2024,—,NO,UNCLEAR,
Immutable zkEVM,Active,Canonical UniV3,13371,"Quickswap V3, WarpGate",2,5,3/22/2024,"$11,241,448",YES,YES,
Q Protocol,Active,UniV3,35441,Elk,1 vol≠tvl,4,3/14/2024,"$9,376",NO,YES,
inEVM,Active,Safe + UniV3,2525,"Poolshark, DackieSwap V3, DackieSwap V2",3 vol≠tvl,7,3/12/2024,—,NO,NO,
DeFiVerse,Active,Safe + UniV3,16116,Gaming DEX,1,1,3/8/2024,—,NO,NO,
Bitrock,Uncertain — verify,UniV3,7171,Rockswap,1,4,3/1/2024,—,NO,YES,
Bitnet,Uncertain — verify,Safe + UniV3,—,Xenwave,1 vol≠tvl,1,1/27/2024,—,NO,UNCLEAR,
AirDAO,Active,Safe + UniV3,16718,"FirepotSwap, Astra",2 vol≠tvl,6,1/16/2024,—,NO,NO,
JBC,Uncertain — verify,Safe + UniV3,—,"Junoswap.trade, JIBSWAP, CommuDAO GameSwap",3 vol≠tvl,4,12/25/2023,"$5,850",NO,UNCLEAR,
Horizen EON,Active,Canonical UniV3,7332,"SpookySwap V2, Ascent Exchange V1, Ascent Exchange V3",3,7,11/8/2023,—,YES,YES,
Omax,Uncertain — verify,Safe + UniV3,—,Omax Swap,1,2,10/31/2023,"$12,494",NO,UNCLEAR,
ETHF,Uncertain — verify,Safe + UniV3,—,Sdex,1 vol≠tvl,1,10/23/2023,—,NO,UNCLEAR,
MEER,Uncertain — verify,Safe + UniV3,—,CandySwap,1,1,10/23/2023,—,NO,UNCLEAR,
Elysium,Uncertain — verify,Safe + UniV3,—,ElysiumSwap,1 vol≠tvl,1,10/23/2023,"$18,415",NO,UNCLEAR,
Bifrost Network,Active,Safe + UniV3,—,Everdex,1,5,10/18/2023,"$13,258,192",NO,UNCLEAR,
Dexalot,Active,Safe + UniV3,432204,Dexalot DEX,1,1,10/13/2023,"$1,786,555",NO,NO,
Beam,Active,UniV3,4337,"Beam Swap, Inferno Swap",2 vol≠tvl,2,10/10/2023,"$1,013,418",YES,YES,
Kroma,Active,UniV3,255,"iZiSwap, Prixmswap",2 vol≠tvl,8,9/16/2023,—,YES,YES,
Pego,Uncertain — verify,Safe + UniV3,—,W3swap,1 vol≠tvl,2,9/13/2023,"$47,690",NO,UNCLEAR,
Darwinia,Uncertain — verify,Safe + UniV3,—,SnowSwap AMM,1 vol≠tvl,1,9/9/2023,"$4,236",NO,UNCLEAR,
DSC,Uncertain — verify,Safe + UniV3,—,AmpleSwap,1 vol≠tvl,1,9/2/2023,—,NO,UNCLEAR,
ALV,Uncertain — verify,Safe + UniV3,—,"AmpleSwap, Alvey Dex",2 vol≠tvl,2,8/26/2023,—,NO,UNCLEAR,
Aura Network,Active,Safe + UniV3,—,"HaloTrade Cosmos, HaloTrade EVM",2 vol≠tvl,3,8/9/2023,"$19,776",NO,UNCLEAR,
Tenet,DEAD — Inactive/defunct 2024,UniV3,—,"Tenx, Tendie Swap",2 vol≠tvl,3,7/11/2023,—,YES,UNCLEAR,
Rollux,Active,Safe + UniV3,—,"Chainge Finance, PegaSys V3",2 vol≠tvl,5,6/30/2023,"$12,169,897",NO,UNCLEAR,
ENULS,Uncertain — verify,Safe + UniV3,—,PheasantSwap,1,3,4/26/2023,—,NO,UNCLEAR,
Oasys,Active,Safe + UniV3,—,"Gaming DEX, Tealswap V3, Tealswap V2",3 vol≠tvl,7,4/23/2023,"$497,372",NO,UNCLEAR,
Loop,Uncertain — verify,Safe + UniV3,—,"Sphynx, ZukeSwap",2 vol≠tvl,2,3/21/2023,"$21,640",NO,UNCLEAR,
Lung,Uncertain — verify,Safe + UniV3,78887,Lunagens,1 vol≠tvl,1,3/11/2023,—,NO,NO,
Crab,Active,UniV3,44,SnowSwap AMM,1 vol≠tvl,1,3/9/2023,"$2,301",NO,YES,
Bitindi,Uncertain — verify,Safe + UniV3,—,Bitindi Dex,1 vol≠tvl,2,1/26/2023,—,NO,UNCLEAR,
Zeniq,Uncertain — verify,Safe + UniV3,—,Zeniq Swap,1 vol≠tvl,1,1/15/2023,—,NO,UNCLEAR,
Boba_Bnb,DEAD — Boba BNB chain sunset,UniV3,—,SushiSwap,1 vol≠tvl,1,12/24/2022,—,YES,UNCLEAR,
Empire,DEAD — Abandoned,Safe + UniV3,—,EmpireDEX,1 vol≠tvl,1,12/23/2022,—,NO,UNCLEAR,
Dexit,Uncertain — verify,Safe + UniV3,—,Dexit Finance Swap,1 vol≠tvl,3,12/14/2022,—,NO,UNCLEAR,
Step,Uncertain — verify,Safe + UniV3,—,Step Exchange,1,2,11/25/2022,"$24,560",NO,UNCLEAR,
Onus,Active,Safe + UniV3,—,"Defily Dex, Heraswap, MiaSwap",3 vol≠tvl,5,11/12/2022,"$284,925",NO,UNCLEAR,
MUUCHAIN,Uncertain — verify,Safe + UniV3,20402,BarnSwap,1 vol≠tvl,1,11/8/2022,—,NO,NO,
Milkomeda A1,DEAD — Milkomeda wound down operations 2024,UniV3,2002,"Blueshift, BrightSide",2 vol≠tvl,3,10/27/2022,"$1,146",NO,YES,
Kekchain,DEAD — Abandoned meme chain,Safe + UniV3,420420,"Frog Swap, KekSwap",2 vol≠tvl,3,10/23/2022,—,NO,NO,
Cube,Active,Safe + UniV3,1818,Capricorn Finance,1,3,9/26/2022,—,NO,NO,
Vision,Uncertain — verify,Safe + UniV3,—,VanSwap,1,2,9/6/2022,—,NO,UNCLEAR,
Tombchain,"DEAD — Defunct, token collapsed",Safe + UniV3,—,Lif3 Swap,1,1,8/30/2022,"$18,219",NO,UNCLEAR,
